timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9378,0.000000,0.000000,0.198238,0.696086,0.334934,-0.029013
2.0379,0.000000,0.000000,0.397968,0.740041,0.393225,0.169725
2.1377,0.000000,0.000000,0.398002,0.739838,0.393162,0.169357
2.2378,0.000000,0.000000,0.398072,0.739602,0.393031,0.168963
2.3388,0.000000,0.000000,0.398176,0.740268,0.392831,0.168767
2.4395,0.000000,0.000000,0.398176,0.740268,0.392831,0.168767
2.5389,0.000000,0.000000,0.398292,0.668187,0.392564,0.148075
2.6406,0.157276,0.106401,0.398396,0.523748,0.387667,0.114340
2.7382,0.186695,0.000150,0.398465,0.390258,0.374819,0.084731
2.8378,0.190867,-0.060482,0.398503,0.270877,0.362434,0.061862
2.9378,0.191275,-0.084906,0.398518,0.192451,0.350458,0.034039
3.0382,0.190827,-0.085169,0.391928,0.138160,0.338877,0.021571
3.1378,0.188472,-0.051411,0.378972,0.099662,0.327679,0.014731
3.2378,0.185388,-0.004225,0.366445,0.056403,0.316851,0.010414
3.3382,0.182324,0.040503,0.354332,0.036379,0.306381,0.007466
3.4379,0.175668,0.043843,0.342620,0.036379,0.296256,0.007467
3.5378,0.168060,0.043842,0.331294,0.025054,0.286466,0.005381
3.6378,0.159724,0.034371,0.320343,0.017755,0.277000,0.003887
3.7378,0.146799,0.047147,0.309754,0.012739,0.267846,0.002810
3.8377,0.143302,0.040324,0.299515,0.009185,0.258994,0.002035
3.9378,0.148415,0.030901,0.289629,0.006894,0.250435,0.001395
4.0382,0.150007,0.022837,0.280033,0.004635,0.242159,0.000981
4.1378,0.151155,0.016657,0.269485,-0.021772,0.234156,0.000021
4.2378,0.148529,-0.048632,0.259513,-0.041392,0.226418,-0.000133
4.3405,0.143855,-0.147605,0.249915,-0.064372,0.218935,-0.000132
4.4380,0.141484,-0.217918,0.240572,-0.085415,0.211699,-0.000136
4.5379,0.139155,-0.263519,0.231366,-0.105897,0.204703,-0.000302
4.6391,0.137607,-0.328481,0.222447,-0.126229,0.197938,-0.000278
4.7386,0.135877,-0.359727,0.213827,-0.146738,0.191396,-0.000211
4.8378,0.134471,-0.368062,0.205516,-0.167958,0.185070,-0.000194
4.9378,0.133349,-0.368549,0.197534,-0.190056,0.178954,-0.000147
5.0382,0.132492,-0.364687,0.189895,-0.213278,0.173040,-0.000103
5.1378,0.131875,-0.357095,0.182657,-0.231108,0.167321,-0.000095
5.2385,0.131457,-0.345578,0.176168,-0.245209,0.161791,-0.000071
