timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7608,0.356600,-0.813593,0.000000,0.000000,0.342160,0.017056
1.8614,0.387909,-0.888816,0.000000,0.000000,0.394402,0.203356
1.9609,0.385322,-0.863623,0.000000,0.000000,0.394344,0.203391
2.0609,0.383732,-0.837804,0.000000,0.000000,0.394225,0.203033
2.1633,0.387366,-0.799611,0.000000,0.000000,0.394042,0.202781
2.2609,0.394510,-0.696432,0.000000,0.000000,0.393799,0.180839
2.3610,0.396957,-0.542229,0.000000,0.000000,0.393553,0.140314
2.4609,0.396957,-0.542229,0.000000,0.000000,0.393313,0.104155
2.5615,0.396736,-0.402224,0.165909,-0.596926,0.388986,0.076083
2.6613,0.396541,-0.293161,0.180927,0.434113,0.376055,0.055250
2.7610,0.396367,-0.212152,0.195731,0.574164,0.363632,0.040029
2.8613,0.396208,-0.153432,0.199165,0.628144,0.351620,0.003777
2.9612,0.396060,-0.110978,0.199537,0.600699,0.340004,-0.004368
3.0609,0.395919,-0.080292,0.199144,0.496721,0.328772,-0.005136
3.1608,0.395815,-0.058018,0.198644,0.392673,0.317910,-0.004266
3.2608,0.395815,-0.041955,0.198241,0.299693,0.307407,-0.003239
3.3608,0.395815,-0.030348,0.197973,0.229047,0.297251,-0.002385
3.4608,0.395815,-0.021953,0.197836,0.173223,0.287431,-0.001737
3.5609,0.395815,-0.015880,0.197816,0.128024,0.277934,-0.001317
3.6608,0.395815,-0.011488,0.197816,0.093384,0.268751,-0.000981
3.7615,0.395816,-0.008298,0.197815,0.067753,0.259872,-0.000727
3.8610,0.394784,-0.005991,0.207089,0.049055,0.251285,-0.000527
3.9609,0.394624,-0.004324,0.221647,0.035462,0.242982,-0.000379
4.0612,0.394457,-0.003119,0.234590,-0.020652,0.234954,-0.000379
