timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.2304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.3303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.4312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.5302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.6303,0.000000,0.000000,0.149881,0.000009,0.210540,-0.000003
2.7306,0.000000,0.000000,0.145602,0.040753,0.392810,0.007228
