timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.2254,0.170960,-3.320879,0.198498,-2.992742,0.000000,0.000000
2.3254,0.159247,-3.375054,0.200000,-2.988300,0.000000,0.000000
2.4254,0.154494,-3.244795,0.200000,-2.830229,0.000000,0.000000
2.5254,0.152245,-2.931073,0.200000,-2.538679,0.000000,0.000000
2.6257,0.150570,-2.500261,0.200000,-2.175353,0.000000,0.000000
2.7256,0.148696,-2.014871,0.200000,-1.756333,0.000000,0.000000
2.8256,0.146757,-1.534337,0.200000,-1.324951,0.000000,0.000000
2.9254,0.144577,-1.151752,0.200000,-0.973033,0.000000,0.000000
3.0258,0.142371,-0.865166,0.200000,-0.706970,0.148960,-2.827050
3.1257,0.140225,-0.659113,0.200000,-0.512139,0.178055,-2.600877
3.2257,0.138174,-0.515524,0.200000,-0.370077,0.183684,-2.376845
3.3254,0.137734,-0.387058,0.200000,-0.266783,0.184765,-2.096760
3.4256,0.137535,-0.285685,0.200000,-0.191740,0.184874,-1.765203
3.5254,0.137305,-0.209885,0.200000,-0.136688,0.184881,-1.380294
3.6263,0.137054,-0.153917,0.200000,-0.096858,0.184844,-1.032250
3.7257,0.136805,-0.113007,0.200000,-0.068044,0.184736,-0.761005
3.8264,0.136563,-0.083223,0.200000,-0.047319,0.184566,-0.557508
3.9256,0.136328,-0.061629,0.200000,-0.032392,0.184339,-0.407376
4.0257,0.136098,-0.045991,0.200000,-0.021677,0.184069,-0.297164
4.1255,0.135874,-0.034673,0.200000,-0.013994,0.183767,-0.217266
4.2263,0.135653,-0.026504,0.200000,-0.008493,0.183444,-0.159166
4.3255,0.135435,-0.020606,0.200000,-0.004576,0.183104,-0.116816
4.4254,0.135220,-0.016375,0.195150,0.000048,0.182754,-0.085793
4.5257,0.132778,0.020443,0.185614,0.003197,0.181552,-0.101004
4.6255,0.129604,0.068018,0.176395,0.054014,0.180443,-0.134293
4.7255,0.126563,0.107991,0.167474,0.048062,0.180317,-0.165982
4.8257,0.125295,0.155244,0.158855,0.027819,0.181418,-0.188800
4.9273,0.131193,0.251222,0.150681,0.008913,0.183793,-0.198747
5.0257,0.125991,0.294026,0.142922,-0.007882,0.187301,-0.191610
5.1258,0.120123,0.282870,0.135374,-0.025681,0.191636,-0.170981
5.2255,0.114724,0.215448,0.128074,-0.051713,0.196536,-0.141442
5.3256,0.109787,0.133979,0.121042,-0.081615,0.200000,-0.144142
5.4255,0.105272,0.068141,0.114440,-0.105543,0.200000,-0.112452
5.5257,0.101046,0.010564,0.108241,-0.124595,0.200000,-0.086207
5.6263,0.097072,-0.034658,0.102421,-0.139964,0.200000,-0.065584
5.7263,0.093332,-0.068776,0.096956,-0.152737,0.200000,-0.049686
5.8256,0.089811,-0.094295,0.091827,-0.163780,0.200000,-0.037438
5.9255,0.086903,-0.124670,0.075284,-0.293418,0.200000,-0.027791
6.0258,0.083663,-0.135410,0.075379,-0.259473,0.200000,-0.020286
6.1263,0.080616,-0.140663,0.074684,-0.225690,0.197468,-0.018749
6.2259,0.077791,-0.145173,0.073785,-0.184886,0.189242,-0.028568
6.3255,0.075171,-0.149809,0.071980,-0.162037,0.181484,-0.039074
6.4264,0.072717,-0.153814,0.068420,-0.170883,0.174090,-0.047489
6.5255,0.070401,-0.156620,0.065088,-0.185449,0.167030,-0.053553
6.6264,0.068216,-0.158396,0.061968,-0.199409,0.160314,-0.057906
6.7254,0.066156,-0.159269,0.059050,-0.211718,0.153933,-0.061100
6.8265,0.064215,-0.159413,0.056320,-0.222323,0.148089,-0.065355
6.9254,0.062386,-0.158966,0.053770,-0.231673,0.147810,-0.111311
7.0254,0.060664,-0.158059,0.051390,-0.240133,0.150883,-0.166508
7.1254,0.059044,-0.156767,0.049169,-0.247765,0.156086,-0.203770
7.2254,0.057520,-0.152024,0.047100,-0.249392,0.163168,-0.213867
7.3255,0.056088,-0.147011,0.045175,-0.250419,0.171570,-0.164692
7.4262,0.054742,-0.142429,0.043384,-0.252014,0.178488,-0.121091
7.5254,0.053480,-0.138206,0.041722,-0.254080,0.178255,-0.087433
7.6255,0.052295,-0.134289,0.040180,-0.256412,0.178006,-0.063180
7.7254,0.051185,-0.130562,0.038752,-0.258942,0.177747,-0.045593
7.8255,0.050145,-0.126825,0.037432,-0.261245,0.177480,-0.032914
7.9254,0.049173,-0.123096,0.036213,-0.263351,0.177206,-0.023775
8.0254,0.048264,-0.119272,0.035088,-0.265039,0.176925,-0.017175
8.1266,0.047416,-0.115374,0.034052,-0.266173,0.176638,-0.012412
8.2262,0.046625,-0.111355,0.033100,-0.266715,0.176345,-0.008966
8.3254,0.045889,-0.107213,0.032225,-0.266482,0.176047,-0.006474
8.4254,0.045205,-0.102976,0.031423,-0.265604,0.175743,-0.004676
8.5254,0.044570,-0.098593,0.030688,-0.264053,0.175434,-0.003376
8.6254,0.043983,-0.094089,0.030015,-0.261717,0.175119,-0.002437
8.7258,0.043441,-0.089452,0.029397,-0.258888,0.174799,-0.001759
8.8254,0.042943,-0.084689,0.028828,-0.255744,0.174473,-0.001272
8.9255,0.042487,-0.079842,0.028304,-0.252307,0.174142,-0.000916
9.0259,0.042070,-0.074896,0.027822,-0.248639,0.173806,-0.000662
9.1255,0.041692,-0.069848,0.027378,-0.244577,0.173464,-0.000479
9.2263,0.041352,-0.064758,0.026970,-0.240177,0.173117,-0.000347
9.3256,0.041047,-0.059570,0.026595,-0.235485,0.172764,-0.000245
9.4254,0.040779,-0.068365,0.026250,-0.283519,0.177267,0.100058
9.5262,0.040545,-0.061939,0.025932,-0.277050,0.177753,0.110616
9.6258,0.040346,-0.054646,0.025639,-0.265426,0.177423,0.110646
9.7254,0.040180,-0.047419,0.025369,-0.253603,0.177069,0.122687
9.8258,0.040049,-0.040462,0.025119,-0.242764,0.176715,0.100643
9.9254,0.039952,-0.033759,0.024889,-0.232746,0.176362,0.076030
10.0255,0.039890,-0.027253,0.024675,-0.223409,0.176010,0.055832
10.1254,0.039863,-0.020909,0.024477,-0.214538,0.175657,0.040572
10.2254,0.039850,-0.015439,0.024292,-0.206191,0.175302,0.029380
10.3255,0.039840,-0.011243,0.024120,-0.198223,0.174943,0.021253
10.4259,0.039833,-0.008148,0.023959,-0.190420,0.174581,0.015360
10.5273,0.039829,-0.005891,0.023808,-0.182858,0.174213,0.011094
10.6255,0.039828,-0.004258,0.023667,-0.175549,0.173841,0.008013
10.7254,0.039828,-0.003075,0.023536,-0.165471,0.173462,0.005788
10.8254,0.039828,-0.002220,0.023417,-0.155805,0.167772,0.004181
10.9254,0.039828,-0.001603,0.023308,-0.147082,0.159488,0.003023
11.0255,0.039828,-0.001158,0.023208,-0.139278,0.151614,0.002186
11.1254,0.039828,-0.000836,0.023118,-0.132288,0.144128,-0.019622
11.2255,0.039828,-0.000607,0.023035,-0.125860,0.137011,-0.020224
11.3257,0.039828,-0.000438,0.022959,-0.119945,0.129890,0.057116
11.4258,0.039828,-0.000320,0.022890,-0.114408,0.123533,0.137849
11.5257,0.039828,-0.000235,0.022827,-0.109206,0.117760,0.193959
11.6255,0.039828,-0.000173,0.022769,-0.104283,0.112480,0.235279
11.7254,0.039827,-0.000129,0.022716,-0.099564,0.107529,0.262698
11.8254,0.039827,-0.000103,0.022668,-0.095061,0.102850,0.277669
11.9254,0.039827,-0.000115,0.022624,-0.112598,0.098450,0.285284
12.0254,0.039826,-0.000109,0.022584,-0.107506,0.094305,0.343638
12.1254,0.040045,0.007212,0.022547,-0.100913,0.090374,0.343162
12.2255,0.040807,0.031842,0.022514,-0.094561,0.086632,0.338031
12.3254,0.041620,0.055504,0.022483,-0.088873,0.083102,0.332172
12.4257,0.042493,0.074801,0.022455,-0.083728,0.079730,0.331633
12.5254,0.043429,0.089846,0.022429,-0.079067,0.076516,0.312026
12.6254,0.044431,0.101451,0.022406,-0.074842,0.073439,0.289979
12.7254,0.045523,0.110905,0.022384,-0.070967,0.070514,0.271017
12.8283,0.046706,0.118597,0.022365,-0.067366,0.067708,0.254301
12.9266,0.047995,0.125152,0.022347,-0.064010,0.065019,0.239549
13.0259,0.049407,0.130914,0.022330,-0.060829,0.062434,0.226233
13.1258,0.050970,0.136390,0.022315,-0.057832,0.059962,0.214769
13.2255,0.052703,0.141673,0.022301,-0.054987,0.057596,0.205059
13.3257,0.054635,0.146903,0.022288,-0.052307,0.055303,0.195091
13.4254,0.056815,0.152361,0.022276,-0.049761,0.053124,0.187130
13.5254,0.059296,0.158108,0.022265,-0.047332,0.051016,0.179092
13.6258,0.062159,0.164417,0.022256,-0.045018,0.048988,0.171440
13.7258,0.065511,0.171515,0.022246,-0.042841,0.047028,0.163732
13.8254,0.069509,0.179612,0.022238,-0.040767,0.045158,0.157398
13.9254,0.074369,0.184228,0.022230,-0.038098,0.043341,0.150604
14.0255,0.081248,0.190390,0.022027,-0.034446,0.041607,0.144904
14.1254,0.092091,0.200745,0.021534,-0.029571,0.039928,0.139012
14.2254,0.109780,0.217685,0.020867,-0.024589,0.038305,0.132954
