timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9249,0.194830,-0.714865,0.000000,0.000000,0.000000,0.000000
2.0251,0.200000,-0.953023,0.064903,-0.790828,0.163058,0.307857
2.1250,0.198616,-0.968043,0.081325,-0.751278,0.185360,0.330749
2.2250,0.198425,-0.868229,0.087125,-0.671588,0.186445,0.293995
2.3253,0.198290,-0.684449,0.090552,-0.533464,0.187450,0.224655
2.4250,0.198232,-0.507982,0.092902,-0.407878,0.189025,0.145332
2.5254,0.198231,-0.365893,0.094742,-0.308980,0.191154,0.085498
2.6250,0.198276,-0.259812,0.096163,-0.234734,0.192723,0.034973
2.7250,0.198374,-0.182847,0.096533,-0.179864,0.192573,0.012110
2.8250,0.198585,-0.127782,0.093912,-0.139109,0.192429,-0.000913
2.9250,0.198941,-0.125140,0.090890,-0.106555,0.192288,-0.009162
3.0250,0.199303,-0.087114,0.087905,-0.079228,0.192150,-0.014619
3.1250,0.199690,-0.060967,0.084953,-0.076719,0.192095,-0.020793
3.2260,0.200000,-0.043287,0.082035,-0.048981,0.191963,-0.024217
3.3250,0.200000,-0.031053,0.079202,-0.026438,0.191832,-0.025768
3.4250,0.200000,-0.022349,0.076464,-0.009201,0.191701,-0.026447
3.5251,0.200000,-0.016123,0.073818,0.003804,0.191571,-0.026635
3.6249,0.200000,-0.011636,0.071260,0.013637,0.191441,-0.026513
3.7251,0.199997,-0.008399,0.068788,0.021159,0.191310,-0.026176
3.8249,0.199993,-0.006060,0.066398,0.027024,0.191179,-0.025692
3.9249,0.199988,-0.004373,0.064089,0.031696,0.191047,-0.025118
4.0249,0.199982,-0.003154,0.061858,0.035534,0.190914,-0.024496
4.1249,0.199977,-0.002274,0.059702,0.038788,0.190779,-0.023833
4.2250,0.199972,-0.001640,0.057618,0.041645,0.190644,-0.023153
4.3250,0.194835,0.000969,0.055605,0.044208,0.190506,-0.022466
4.4249,0.190109,0.010301,0.053659,0.046615,0.190900,-0.021993
4.5250,0.188835,0.036206,0.051316,0.100755,0.193254,-0.018654
4.6250,0.187631,0.059725,0.048694,0.217782,0.193153,-0.014246
4.7250,0.186494,0.077521,0.046245,0.360728,0.193047,-0.010509
4.8265,0.186126,0.092749,0.044156,0.595966,0.192938,-0.007649
4.9254,0.187330,0.102777,0.042631,0.803583,0.192826,-0.005538
5.0250,0.189209,0.103888,0.042153,0.984187,0.192711,-0.004002
5.1254,0.191597,0.096727,0.043011,1.134585,0.192593,-0.002890
5.2253,0.194353,0.082472,0.045223,1.213303,0.192472,-0.002086
5.3250,0.196442,0.063222,0.048457,1.196612,0.192348,-0.001505
5.4251,0.196396,0.046449,0.051815,1.098210,0.192220,-0.001085
5.5279,0.196346,0.033778,0.055474,0.972244,0.192090,-0.000781
5.6250,0.196294,0.024456,0.059974,0.846210,0.187021,-0.000566
5.7255,0.196239,0.017682,0.065076,0.722830,0.180840,-0.000408
5.8262,0.196182,0.012782,0.070403,0.599704,0.174862,-0.000292
5.9250,0.196124,0.009241,0.075814,0.481806,0.169083,-0.000214
6.0253,0.196063,0.006681,0.081273,0.372761,0.163494,-0.000149
6.1250,0.196000,0.004824,0.086753,0.275203,0.158090,-0.000109
6.2251,0.195936,0.003486,0.092321,0.200026,0.152865,-0.000080
6.3254,0.195936,0.003487,0.097992,0.144877,0.147812,-0.000080
6.4255,0.195870,0.002519,0.103802,0.104739,0.142926,-0.000056
6.5250,0.195803,0.001821,0.109740,0.104739,0.138202,-0.000037
6.6251,0.195734,0.001313,0.115844,0.075630,0.133634,-0.000015
6.7250,0.195662,0.000948,0.122143,0.054603,0.129217,-0.000013
6.8250,0.189440,0.000686,0.126880,0.039449,0.124946,-0.000007
6.9250,0.183184,0.000496,0.126842,0.028532,0.120816,0.000003
7.0250,0.177133,0.000338,0.127815,0.020617,0.116822,-0.000029
7.1249,0.171282,0.000289,0.129837,0.014907,0.112961,-0.000063
7.2259,0.165625,0.000219,0.131362,0.010765,0.109227,-0.000054
7.3250,0.160153,0.000190,0.132410,0.007773,0.105617,-0.000071
7.4253,0.154863,0.000145,0.133390,0.005613,0.102126,-0.000056
7.5250,0.149747,0.000112,0.134318,0.004058,0.098750,-0.000054
7.6250,0.144800,0.000074,0.135114,0.002941,0.095486,-0.000039
7.7250,0.140016,0.000056,0.135795,0.002131,0.092330,-0.000051
7.8271,0.135391,0.000047,0.136393,0.001539,0.089278,-0.000038
7.9250,0.130918,-0.000005,0.136927,0.001105,0.086327,-0.000023
8.0269,0.126593,-0.000014,0.137403,0.000803,0.083473,-0.000016
8.1255,0.122411,-0.000033,0.137833,0.000586,0.080714,-0.000018
8.2250,0.118367,-0.000036,0.133378,-0.076103,0.078046,-0.000007
8.3251,0.114456,-0.000027,0.128900,-0.152633,0.075466,-0.000009
8.4250,0.110674,-0.000015,0.124397,-0.196161,0.072972,-0.000006
8.5251,0.107017,-0.000007,0.119964,-0.222227,0.070560,-0.000020
8.6250,0.103481,-0.000010,0.115685,-0.236452,0.068225,-0.000174
8.7282,0.100062,-0.000007,0.111495,-0.243728,0.066530,0.038287
8.8252,0.096758,-0.000024,0.107408,-0.245750,0.064912,0.069270
8.9258,0.096172,-0.027782,0.103426,-0.244959,0.063365,0.091805
9.0280,0.099243,-0.083509,0.104955,-0.243678,0.061882,0.107344
9.1253,0.105120,-0.130533,0.108542,-0.241977,0.060466,0.117988
9.2252,0.122654,-0.193722,0.115697,-0.245456,0.059103,0.124599
9.3251,0.199248,-0.248358,0.178027,-0.255575,0.057790,0.157958
9.4250,0.199904,-0.318658,0.192641,-0.365387,0.056527,0.160883
9.5250,0.200000,-0.335490,0.195219,-0.432263,0.055324,0.162407
9.6250,0.200000,-0.274865,0.197245,-0.472002,0.054168,0.161976
9.7250,0.200000,-0.210266,0.198733,-0.502387,0.053042,0.159935
9.8253,0.200000,-0.157225,0.199658,-0.525493,0.051960,0.157431
9.9279,0.200000,-0.116618,0.199998,-0.538968,0.050929,0.155154
10.0257,0.200000,-0.086253,0.200000,-0.446142,0.049938,0.152882
10.1262,0.200000,-0.063747,0.200000,-0.341659,0.048980,0.150249
10.2253,0.200000,-0.047095,0.200000,-0.289474,0.048055,0.147430
10.3250,0.200000,-0.034786,0.200000,-0.223617,0.047173,0.144849
10.4249,0.200000,-0.025702,0.200000,-0.167304,0.046325,0.142382
10.5250,0.200000,-0.018980,0.200000,-0.123850,0.045514,0.140088
10.6250,0.200000,-0.014013,0.200000,-0.091269,0.044730,0.137660
10.7250,0.200000,-0.010344,0.196209,-0.058722,0.043985,0.135411
10.8250,0.200000,-0.007636,0.190022,-0.026461,0.043260,0.132820
10.9252,0.200000,-0.005641,0.184052,-0.000194,0.042581,0.130708
11.0251,0.200000,-0.004170,0.178291,0.020122,0.041922,0.128355
11.1270,0.200000,-0.003081,0.172731,0.035633,0.041289,0.125868
11.2250,0.200000,-0.002276,0.167364,0.047514,0.040693,0.119942
11.3250,0.200000,-0.001681,0.162192,0.127605,0.040138,0.114458
11.4273,0.200000,-0.001242,0.157209,0.135445,0.039614,0.109858
11.5255,0.200000,-0.000918,0.152398,0.125976,0.039129,0.106360
11.6250,0.200000,-0.000677,0.147752,0.115061,0.038660,0.103145
11.7250,0.200000,-0.000502,0.143266,0.106237,0.038233,0.100721
11.8258,0.200000,-0.000371,0.138933,0.099786,0.037861,0.099112
11.9250,0.200000,-0.000275,0.134750,0.095359,0.037507,0.097238
12.0256,0.200000,-0.000204,0.130712,0.092377,0.037202,0.095836
12.1250,0.200000,-0.000150,0.126813,0.090484,0.036957,0.094823
12.2250,0.200000,-0.000111,0.123050,0.089401,0.036769,0.094020
12.3269,0.200000,-0.000082,0.119417,0.088996,0.036635,0.093278
12.4250,0.200000,-0.000060,0.115911,0.088986,0.036579,0.092801
12.5250,0.200000,-0.000060,0.112583,0.111832,0.036595,0.113556
12.6251,0.200000,-0.000044,0.109261,0.089798,0.036724,0.112991
12.7250,0.200000,-0.000031,0.106110,0.090471,0.037018,0.111475
12.8249,0.200000,-0.000020,0.103139,0.114816,0.037509,0.110253
