timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9699,0.199455,-0.706857,0.000000,0.000000,0.000000,0.000000
2.0699,0.198459,-0.903845,0.099869,-0.574286,0.200000,0.362842
2.1699,0.197843,-0.898245,0.097891,-0.509102,0.200000,0.355547
2.2699,0.197894,-0.802277,0.095785,-0.409941,0.200000,0.315871
2.3710,0.197983,-0.623929,0.094080,-0.319861,0.200000,0.239856
2.4704,0.198129,-0.459646,0.092711,-0.236035,0.200000,0.172561
2.5699,0.198321,-0.329589,0.091626,-0.180543,0.200000,0.121257
2.6703,0.198550,-0.233412,0.090785,-0.140626,0.200000,0.084147
2.7700,0.198806,-0.164044,0.090143,-0.110555,0.196103,0.046648
2.8700,0.199083,-0.114705,0.089629,-0.087245,0.192159,0.016871
2.9701,0.199376,-0.079842,0.089223,-0.068794,0.188461,-0.005035
3.0706,0.199690,-0.078187,0.088914,-0.071841,0.185898,-0.024743
3.1699,0.199976,-0.054313,0.090108,-0.060173,0.186628,-0.050646
3.2706,0.200000,-0.037867,0.092875,-0.056187,0.188337,-0.067396
3.3700,0.200000,-0.026429,0.095993,-0.054884,0.190626,-0.072811
3.4700,0.200000,-0.018420,0.098921,-0.053130,0.192902,-0.083426
3.5699,0.200000,-0.012949,0.100845,-0.048201,0.192788,-0.074171
3.6703,0.200000,-0.009240,0.101808,-0.040429,0.192672,-0.063459
3.7699,0.200000,-0.006638,0.102498,-0.032784,0.192555,-0.054396
3.8699,0.200000,-0.004786,0.103101,-0.026422,0.192438,-0.047301
3.9699,0.200000,-0.003452,0.103665,-0.021462,0.192320,-0.041846
4.0699,0.200000,-0.002491,0.104205,-0.017677,0.192201,-0.037631
4.1699,0.200000,-0.001796,0.104724,-0.014823,0.192082,-0.034355
4.2699,0.200000,-0.001296,0.104454,-0.010530,0.191962,-0.031739
4.3699,0.200000,-0.000934,0.100803,0.003032,0.191841,-0.029610
4.4699,0.200000,-0.000673,0.097275,0.016139,0.191719,-0.027856
4.5699,0.200000,-0.000482,0.093867,0.026942,0.191596,-0.026377
4.6699,0.200000,-0.000345,0.090575,0.035568,0.191472,-0.025105
4.7730,0.200000,-0.000247,0.087394,0.042500,0.191347,-0.023990
4.8699,0.200000,-0.000179,0.084323,0.048162,0.191220,-0.022988
4.9699,0.198398,0.001096,0.081356,0.052940,0.191091,-0.022076
5.0700,0.192782,0.005580,0.078491,0.057104,0.191654,-0.021430
5.1699,0.188685,0.016266,0.075725,0.060833,0.193639,-0.017778
5.2699,0.187596,0.039561,0.072622,0.104700,0.193543,-0.013479
5.3699,0.186566,0.060160,0.069284,0.198404,0.193443,-0.009892
5.4701,0.185822,0.076469,0.066104,0.319120,0.193340,-0.007186
5.5703,0.186938,0.091888,0.063297,0.534068,0.193234,-0.005199
5.6700,0.188896,0.099218,0.061203,0.705231,0.193126,-0.003757
5.7699,0.191409,0.096612,0.060083,0.848321,0.193014,-0.002712
5.8699,0.194276,0.083079,0.059886,0.925322,0.192900,-0.001958
5.9701,0.196264,0.063616,0.060513,0.949799,0.192783,-0.001412
6.0699,0.196215,0.046768,0.061529,0.908366,0.192663,-0.001018
6.1726,0.196163,0.034020,0.063000,0.845425,0.192540,-0.000734
6.2701,0.196108,0.024624,0.065532,0.793358,0.192414,-0.000531
6.3700,0.196051,0.017801,0.068983,0.739736,0.192285,-0.000381
6.4699,0.195992,0.012851,0.072950,0.673120,0.192153,-0.000275
6.5701,0.195931,0.009272,0.077257,0.573425,0.187770,-0.000198
6.6703,0.195867,0.006694,0.081854,0.491215,0.181564,-0.000141
6.7701,0.195802,0.004839,0.086671,0.412092,0.175563,-0.000100
6.8708,0.195735,0.003498,0.091623,0.334908,0.169761,-0.000072
6.9706,0.195667,0.002530,0.096622,0.260977,0.164150,-0.000046
7.0712,0.195596,0.001827,0.101621,0.192730,0.158724,-0.000058
7.1700,0.195524,0.001320,0.106680,0.140294,0.153478,-0.000044
7.2699,0.195450,0.000951,0.111814,0.101612,0.148406,-0.000047
7.3701,0.195374,0.000686,0.117040,0.073497,0.143501,-0.000075
7.4699,0.195296,0.000496,0.122375,0.073497,0.138758,-0.000064
7.5699,0.195216,0.000360,0.127837,0.038341,0.134171,-0.000049
7.6699,0.195135,0.000256,0.133443,0.027672,0.129737,-0.000023
7.7700,0.195135,0.000258,0.139209,0.027672,0.125449,-0.000013
7.8700,0.195051,0.000190,0.145194,0.019978,0.121302,-0.000014
7.9700,0.194965,0.000140,0.151357,0.014427,0.117293,-0.000005
8.0732,0.194876,0.000105,0.157756,0.010426,0.113416,0.000000
8.1700,0.194786,0.000078,0.164436,0.007528,0.109667,0.000000
8.2699,0.194693,0.000060,0.168798,0.005434,0.106042,0.000001
8.3700,0.194598,0.000048,0.168422,0.003942,0.102537,0.000007
8.4713,0.194500,0.000035,0.168028,0.002853,0.099148,-0.000024
8.5700,0.194400,0.000025,0.167629,0.002064,0.095871,-0.000017
8.6706,0.194297,0.000016,0.167224,0.001490,0.092702,-0.000030
8.7698,0.194191,0.000013,0.166812,0.001079,0.089639,-0.000001
8.8698,0.194082,0.000037,0.166394,0.000786,0.088036,0.050387
8.9698,0.196059,-0.094631,0.165970,0.000570,0.086598,0.100158
9.0699,0.197896,-0.206665,0.167516,-0.035272,0.085309,0.139001
9.1699,0.199174,-0.254763,0.172238,-0.132693,0.084167,0.167066
9.2698,0.199870,-0.326925,0.176730,-0.225524,0.083177,0.186603
9.3699,0.200000,-0.351863,0.181062,-0.336361,0.082350,0.199906
9.4699,0.200000,-0.289553,0.184944,-0.396675,0.081713,0.209133
9.5699,0.200000,-0.221706,0.188470,-0.436369,0.081271,0.215214
9.6699,0.200000,-0.165601,0.191596,-0.465700,0.081066,0.219429
9.7699,0.200000,-0.122661,0.194285,-0.488613,0.079886,0.201796
9.8699,0.199871,-0.072661,0.196497,-0.507211,0.077436,0.161233
9.9710,0.199852,-0.031358,0.198196,-0.522034,0.075069,0.124133
10.0699,0.199941,-0.001855,0.199349,-0.534213,0.072922,0.097716
10.1699,0.200000,0.016059,0.199931,-0.552471,0.070987,0.081374
10.2704,0.200000,0.026622,0.200000,-0.489567,0.069255,0.072750
10.3699,0.200000,0.032191,0.200000,-0.372165,0.067719,0.069878
10.4700,0.200000,0.034289,0.200000,-0.277284,0.066372,0.070990
10.5702,0.200000,0.033979,0.200000,-0.204766,0.065208,0.073207
10.6701,0.200000,0.032000,0.200000,-0.150683,0.064223,0.076768
10.7700,0.200000,0.028844,0.200000,-0.110783,0.063412,0.081233
10.8700,0.200000,0.024947,0.200000,-0.081483,0.062769,0.085960
10.9701,0.200000,0.020523,0.200000,-0.059962,0.062289,0.090478
11.0699,0.200000,0.015800,0.194994,-0.032291,0.061967,0.094257
11.1700,0.200000,0.011604,0.188885,-0.006258,0.061719,0.096154
11.2704,0.200000,0.008443,0.182991,0.014115,0.061498,0.095831
11.3701,0.200000,0.006120,0.177302,0.029689,0.061300,0.093700
11.4701,0.200000,0.004430,0.171813,0.041591,0.061123,0.090291
11.5699,0.200000,0.003202,0.166515,0.050738,0.060967,0.085950
11.6699,0.200000,0.002316,0.161402,0.057839,0.060829,0.080964
11.7699,0.200000,0.002316,0.156480,0.075950,0.060708,0.075546
11.8698,0.200000,0.001677,0.151721,0.082047,0.060602,0.069859
11.9699,0.200000,0.001214,0.147127,0.087031,0.060511,0.063997
12.0706,0.200000,0.000875,0.142695,0.089348,0.060434,0.058081
12.1710,0.200000,0.000632,0.138417,0.090935,0.060368,0.052131
12.2699,0.200000,0.000456,0.134288,0.092415,0.060315,0.058667
12.3699,0.200000,0.000329,0.130304,0.093959,0.060272,0.051440
12.4699,0.200000,0.000238,0.126459,0.095482,0.060240,0.043684
12.5699,0.200000,0.000174,0.122749,0.096993,0.060218,0.036136
12.6710,0.200000,0.000128,0.119169,0.098489,0.060205,0.028948
12.7699,0.200000,0.000093,0.115714,0.099974,0.060202,0.022121
12.8767,0.200000,0.000070,0.112380,0.101423,0.060202,0.016316
12.9699,0.200000,0.000073,0.109163,0.102833,0.060200,0.011890
13.0699,0.200000,-0.023145,0.106060,0.104226,0.062472,0.008615
13.1699,0.200000,-0.046581,0.103065,0.105593,0.064743,0.006228
13.2702,0.200000,-0.065616,0.100175,0.106949,0.067014,0.004507
13.3698,0.200000,-0.080077,0.097386,0.108275,0.069275,0.003263
13.4699,0.200000,-0.090963,0.094695,0.109511,0.071541,0.002358
13.5699,0.200000,-0.099112,0.092099,0.110751,0.073805,0.001705
13.6699,0.200000,-0.105540,0.089593,0.111895,0.076094,0.001247
13.7699,0.200000,-0.097944,0.087175,0.112993,0.078397,0.000886
13.8699,0.200000,-0.078382,0.084842,0.114093,0.082808,0.000651
13.9699,0.200000,-0.060047,0.082590,0.115085,0.087780,0.000474
14.0699,0.200000,-0.045356,0.080416,0.116018,0.092422,0.000325
14.1700,0.200000,-0.034069,0.078319,0.116899,0.096885,0.000229
14.2700,0.200000,-0.025564,0.076293,0.117791,0.101432,0.000166
14.3699,0.200000,-0.019179,0.074340,0.115650,0.106030,0.000119
14.4699,0.200000,-0.014390,0.072453,0.113439,0.110672,0.000092
14.5700,0.200000,-0.010807,0.070631,0.111644,0.115365,0.000072
14.6700,0.200000,-0.008120,0.068871,0.110278,0.120118,0.000052
14.7699,0.200000,-0.006108,0.067171,0.109311,0.125153,0.015327
14.8699,0.200000,-0.004598,0.065528,0.108574,0.130279,0.023560
14.9709,0.200000,-0.003466,0.063941,0.108035,0.135489,0.024379
15.0699,0.200000,-0.002615,0.062408,0.107645,0.140761,0.019520
15.1704,0.200000,-0.001975,0.060925,0.107400,0.146067,0.010765
15.2734,0.200000,-0.001493,0.059493,0.107156,0.151386,-0.000337
15.3701,0.200000,-0.001129,0.058108,0.106901,0.156696,-0.012734
15.4700,0.200000,-0.000856,0.056769,0.106701,0.161987,-0.025618
15.5699,0.200000,-0.000651,0.055474,0.106417,0.167240,-0.038464
15.6699,0.200000,-0.000493,0.054221,0.106122,0.172443,-0.050946
15.7700,0.200000,-0.000373,0.053009,0.105753,0.177583,-0.062766
15.8700,0.200000,-0.000283,0.051836,0.105356,0.182650,-0.073758
15.9702,0.200000,-0.000283,0.050932,0.138933,0.187630,-0.083845
16.0700,0.200000,-0.000214,0.049837,0.138564,0.192517,-0.093030
16.1699,0.200000,-0.000162,0.048776,0.138106,0.197384,-0.119109
16.2699,0.200000,-0.000123,0.047750,0.134285,0.200000,-0.116655
16.3699,0.200000,-0.000093,0.046755,0.130368,0.200000,-0.097072
16.4699,0.200000,-0.000068,0.045790,0.127041,0.200000,-0.075054
16.5699,0.200000,-0.000050,0.044854,0.124308,0.200000,-0.056659
16.6699,0.200000,-0.000039,0.043946,0.122086,0.200000,-0.042426
16.7699,0.200000,-0.000030,0.043065,0.120191,0.200000,-0.031694
16.8699,0.200000,-0.000022,0.042210,0.118537,0.200000,-0.023669
16.9703,0.200000,-0.000019,0.041379,0.117113,0.200000,-0.017674
17.0699,0.200000,-0.000014,0.040573,0.115749,0.200000,-0.013195
17.1709,0.200000,-0.000012,0.039789,0.114493,0.200000,-0.009861
17.2730,0.200000,-0.000010,0.039028,0.113265,0.200000,-0.007376
17.3720,0.200000,-0.000006,0.038288,0.112048,0.200000,-0.005520
17.4700,0.200000,-0.000003,0.037568,0.110858,0.200000,-0.004135
17.5701,0.200000,-0.000001,0.036868,0.109670,0.200000,-0.003097
17.6699,0.200000,0.000001,0.036187,0.108470,0.200000,-0.002322
17.7699,0.200000,-0.000001,0.035524,0.107248,0.200000,-0.001742
17.8699,0.200000,0.000001,0.034879,0.106052,0.200000,-0.001306
17.9699,0.200000,0.000006,0.034250,0.104818,0.200000,-0.000980
18.0699,0.200000,0.000002,0.033638,0.103586,0.200000,-0.000735
18.1699,0.105858,-0.637943,0.033041,0.102307,0.200000,-0.000551
18.2701,0.035838,-0.977887,0.032460,0.098040,0.200000,-0.000414
18.3721,0.017645,-0.894306,0.031893,0.093752,0.200000,-0.000311
18.4699,0.012828,-0.760350,0.031339,0.090111,0.200000,-0.000234
18.5700,0.011549,-0.582929,0.030799,0.087087,0.200000,-0.000176
18.6706,0.011208,-0.430272,0.030272,0.084563,0.200000,-0.000134
18.7699,0.011118,-0.312991,0.029757,0.082421,0.200000,-0.000102
18.8707,0.011093,-0.226337,0.029253,0.080497,0.200000,-0.000077
18.9721,0.011087,-0.163529,0.028762,0.078765,0.200000,-0.000059
19.0701,0.011086,-0.118149,0.028281,0.077180,0.200000,-0.000041
19.1699,0.011085,-0.085295,0.027812,0.075714,0.200000,-0.000030
19.2702,0.011085,-0.061571,0.027353,0.074341,0.200000,-0.000022
19.3702,0.011085,-0.044451,0.026903,0.073040,0.200000,-0.000014
19.4707,0.011086,-0.032086,0.026464,0.071793,0.200000,-0.000008
19.5699,0.011086,-0.023172,0.026034,0.070572,0.200000,-0.000004
19.6700,0.011086,-0.016739,0.025613,0.069387,0.200000,-0.000003
19.7708,0.011086,-0.012087,0.025201,0.068218,0.200000,0.000000
19.8699,0.011086,-0.008718,0.024797,0.067067,0.200000,0.000003
19.9700,0.011087,-0.008710,0.024670,0.091296,0.200000,0.000008
20.0699,0.011087,-0.004527,0.024281,0.089824,0.200000,0.000010
20.1699,0.000000,0.000000,0.023635,0.063759,0.200000,-0.000011
20.2701,0.000000,0.000000,0.023526,0.086945,0.200000,-0.000015
20.3701,0.000000,0.000000,0.023159,0.085528,0.200000,-0.000011
20.4700,0.000000,0.000000,0.022800,0.081809,0.200000,-0.000011
20.5700,0.000000,0.000000,0.022448,0.078132,0.200000,-0.000008
20.6716,0.000000,0.000000,0.022102,0.074959,0.200000,-0.000007
20.7700,0.000000,0.000000,0.021762,0.072302,0.200000,-0.000005
20.8699,0.000000,0.000000,0.021429,0.070055,0.200000,-0.000001
20.9699,0.000000,0.000000,0.021101,0.068097,0.200000,-0.000003
21.0699,0.000000,0.000000,0.020780,0.066388,0.200000,-0.000001
21.1701,0.000000,0.000000,0.020464,0.064823,0.200000,-0.000003
21.2699,0.000000,0.000000,0.020155,0.063420,0.200000,-0.000001
21.3699,0.000000,0.000000,0.019850,0.062107,0.200000,-0.000003
21.4699,0.000000,0.000000,0.019551,0.060846,0.018589,2.455275
21.5698,0.000000,0.000000,0.019257,0.059668,0.000000,0.000000
21.6698,0.000000,0.000000,0.018968,0.058519,0.000000,0.000000
21.7699,0.000000,0.000000,0.018684,0.057427,0.000000,0.000000
21.8699,0.000000,0.000000,0.018405,0.056345,0.000000,0.000000
21.9699,0.000000,0.000000,0.018131,0.055298,0.000000,0.000000
22.0698,0.000000,0.000000,0.017862,0.054276,0.000000,0.000000
22.1699,0.000000,0.000000,0.017597,0.053276,0.000000,0.000000
22.2699,0.000000,0.000000,0.017336,0.052289,0.000000,0.000000
22.3699,0.000000,0.000000,0.017080,0.049661,0.000000,0.000000
22.4699,0.000000,0.000000,0.016828,0.047067,0.000000,0.000000
22.5700,0.000000,0.000000,0.016579,0.044859,0.000000,0.000000
22.6699,0.000000,0.000000,0.016335,0.043026,0.000000,0.000000
22.7700,0.000000,0.000000,0.016095,0.041492,0.000000,0.000000
22.8700,0.000000,0.000000,0.015859,0.040183,0.000000,0.000000
22.9702,0.000000,0.000000,0.015626,0.039058,0.000000,0.000000
23.0699,0.000000,0.000000,0.015838,0.050391,0.000000,0.000000
23.1699,0.000000,0.000000,0.018244,0.106103,0.000000,0.000000
23.2699,0.000000,0.000000,0.027321,0.178164,0.000000,0.000000
23.3700,0.000000,0.000000,0.040138,0.201689,0.000000,0.000000
23.4699,0.000000,0.000000,0.038677,0.242847,0.000000,0.000000
23.5700,0.000000,0.000000,0.038029,0.217916,0.000000,0.000000
23.6706,0.000000,0.000000,0.037514,0.169432,0.000000,0.000000
23.7730,0.000000,0.000000,0.037004,0.125743,0.000000,0.000000
23.8699,0.000000,0.000000,0.036499,0.091811,0.000000,0.000000
23.9699,0.000000,0.000000,0.036000,0.066676,0.000000,0.000000
24.0708,0.000000,0.000000,0.035506,0.048322,0.000000,0.000000
24.1700,0.000000,0.000000,0.035018,0.034983,0.000000,0.000000
24.2700,0.000000,0.000000,0.035018,0.034984,0.000000,0.000000
24.3701,0.000000,0.000000,0.034536,0.025326,0.000000,0.000000
24.4699,0.000000,0.000000,0.034058,0.018329,0.000000,0.000000
24.5710,0.000000,0.000000,0.033586,0.013262,0.000000,0.000000
24.6715,0.000000,0.000000,0.033121,0.009593,0.000000,0.000000
24.7699,0.000000,0.000000,0.032663,0.006931,0.000000,0.000000
24.8706,0.000000,0.000000,0.032210,0.005007,0.000000,0.000000
24.9699,0.000000,0.000000,0.031763,0.003625,0.000000,0.000000
25.0711,0.000000,0.000000,0.031321,0.002633,0.000000,0.000000
25.1701,0.000000,0.000000,0.030885,0.001918,0.000000,0.000000
25.2699,0.000000,0.000000,0.030454,0.001403,0.000000,0.000000
25.3699,0.000000,0.000000,0.030030,0.001009,0.000000,0.000000
25.4699,0.000000,0.000000,0.029612,0.000720,0.000000,0.000000
25.5699,0.000000,0.000000,0.029198,0.000532,0.000000,0.000000
25.6699,0.000000,0.000000,0.028787,0.000415,0.000000,0.000000
