timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.8774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9773,0.000000,0.000000,0.000000,0.000000,0.189469,0.431249
2.0773,0.178240,-0.304635,0.122732,0.391943,0.189148,0.392380
2.1773,0.189546,-0.309351,0.119652,0.416455,0.188766,0.359021
2.2777,0.191919,-0.302063,0.116120,0.409097,0.188978,0.282731
2.3773,0.193935,-0.260853,0.112806,0.338684,0.189778,0.188038
2.4773,0.196011,-0.196953,0.109710,0.272091,0.191153,0.113081
2.5773,0.198182,-0.142808,0.106833,0.220844,0.193016,0.047611
2.6783,0.200000,-0.102237,0.104178,0.186562,0.193161,0.017593
2.7775,0.200000,-0.069659,0.101734,0.164795,0.192990,0.000673
2.8783,0.200000,-0.046367,0.099490,0.151700,0.192825,-0.010075
2.9783,0.200000,-0.030344,0.097446,0.144668,0.192665,-0.017207
3.0774,0.200000,-0.019720,0.095602,0.141759,0.192510,-0.021963
3.1775,0.200000,-0.013022,0.093957,0.141542,0.192358,-0.025075
3.2773,0.200000,-0.009080,0.092495,0.142608,0.192208,-0.027023
3.3775,0.200000,-0.006495,0.091144,0.142958,0.192062,-0.028123
3.4781,0.200000,-0.004677,0.089888,0.142285,0.191917,-0.028641
3.5773,0.200000,-0.003375,0.088723,0.140629,0.191773,-0.028748
3.6786,0.200000,-0.002436,0.087644,0.138224,0.191630,-0.028560
3.7773,0.200000,-0.001757,0.086647,0.135202,0.191488,-0.028172
3.8773,0.200000,-0.001268,0.085726,0.131590,0.191346,-0.027638
3.9779,0.200000,-0.000913,0.084878,0.127551,0.191204,-0.027026
4.0775,0.200000,-0.000656,0.084098,0.123186,0.191062,-0.026364
4.1773,0.200000,-0.000473,0.083383,0.118408,0.190920,-0.025645
4.2773,0.200000,-0.000342,0.082729,0.113332,0.193391,-0.024227
4.3773,0.200000,-0.000247,0.082133,0.108061,0.194301,-0.018424
4.4773,0.200000,-0.000247,0.081592,0.127382,0.194301,-0.018424
4.5773,0.200000,-0.000176,0.081102,0.120489,0.194123,-0.009884
