timestamp,robot1_linear_x,robot1_angular_z,robot2_linear_x,robot2_angular_z,robot3_linear_x,robot3_angular_z
0.0500,0.050000,-1.570426,0.200000,0.000055,0.050000,1.570500
0.1499,0.050000,-1.607503,0.200000,0.000055,0.050000,1.607562
0.2498,0.050000,-1.489882,0.200000,0.000206,0.050000,1.490873
0.3498,0.050000,-1.349284,0.200000,-0.000102,0.050000,1.353884
0.4499,0.050000,-1.200524,0.200000,-0.000145,0.050000,1.214134
0.5499,0.050000,-1.061972,0.200000,-0.000127,0.050000,1.091861
0.6499,0.050000,-0.932468,0.200000,-0.000099,0.050000,0.989219
0.7499,0.050000,-0.807281,0.200000,-0.000075,0.050000,0.907999
0.8498,0.101223,-1.356850,0.200000,-0.000055,0.050000,0.852493
0.9499,0.100905,-1.069132,0.200000,-0.000041,0.050000,0.830322
1.0499,0.103948,-0.614677,0.200000,-0.000029,0.050000,0.847550
1.1499,0.115639,-0.145279,0.200000,-0.000021,0.050000,0.886405
1.2500,0.143669,0.148611,0.200000,-0.000014,0.050000,0.874391
1.3500,0.167319,0.091298,0.200000,-0.000010,0.184862,1.471371
1.4499,0.177699,0.064462,0.200000,-0.000007,0.184925,1.296283
1.5498,0.180626,0.046758,0.200000,-0.000003,0.185032,1.072504
1.6498,0.180277,0.033787,0.200000,-0.000002,0.185086,0.814234
1.7498,0.179907,0.024339,0.200000,0.000001,0.185044,0.600716
1.8498,0.179524,0.017493,0.200000,0.000002,0.184925,0.440965
1.9499,0.179128,0.012529,0.200000,0.000001,0.184744,0.320766
2.0500,0.178720,0.008936,0.200000,0.000002,0.184515,0.232235
2.1498,0.178300,0.006334,0.200000,0.000002,0.184249,0.167801
2.2500,0.177867,0.004453,0.200000,0.000006,0.183951,0.121233
2.3498,0.177423,0.003082,0.200000,0.000005,0.183629,0.087630
2.4499,0.176965,0.002095,0.200000,0.000005,0.183284,0.063359
2.5498,0.176495,0.001377,0.200000,0.000005,0.182921,0.045855
2.6498,0.176012,0.000850,0.200000,0.000002,0.182540,0.033212
2.7499,0.175515,0.000470,0.200000,0.000003,0.182142,0.024084
2.8498,0.175005,0.000190,0.200000,0.000003,0.181729,0.017507
2.9498,0.174481,-0.000016,0.200000,0.000004,0.181301,0.012766
3.0499,0.173943,-0.000168,0.200000,0.000002,0.180858,0.009352
3.1500,0.173389,-0.000286,0.200000,0.000002,0.180400,0.006883
3.2500,0.172821,-0.000378,0.200000,0.000005,0.179926,0.005101
3.3499,0.172237,-0.000447,0.200000,0.000005,0.179437,0.003819
3.4498,0.171636,-0.000504,0.200000,0.000003,0.178932,0.002900
3.5500,0.171020,-0.000551,0.200000,0.000005,0.178411,0.002238
3.6498,0.170386,-0.000590,0.200000,0.000006,0.177873,0.001768
3.7499,0.169735,-0.000629,0.200000,0.000003,0.177319,0.001433
3.8499,0.169066,-0.000661,0.200000,0.000004,0.176746,0.001197
3.9499,0.168379,-0.000693,0.200000,0.000006,0.176155,0.001033
4.0499,0.167673,-0.000723,0.200000,0.000002,0.175545,0.000922
4.1498,0.166948,-0.000750,0.200000,0.000002,0.174916,0.000849
4.2499,0.166203,-0.000786,0.200000,0.000008,0.174267,0.000802
